Sample,Location,Environmental,Cellular,Metabolism,Genetic
RG025,Governor's Island,0.005535167,0.007178439,0.026908914,0.012926905
RG026,Governor's Island,0.010273387,0.011336983,0.023850753,0.009266279
RG027,Governor's Island,0.009904842,0.011070019,0.024264924,0.009389667
RG029,Governor's Island,0.010099399,0.011216782,0.024309302,0.009661809
RG031,Eagle Wings,0.010185443,0.0112254,0.023961765,0.009439135
RG032,Eagle Wings,0.010285844,0.011346179,0.023842193,0.009273751
RG033,Eagle Wings,0.010298964,0.011358381,0.023827002,0.0092637
RG034,Eagle Wings,0.010173582,0.011243815,0.024032552,0.009441494
RG037,Eagle Wings,0.010254123,0.011324608,0.0238778,0.009272225
RG038,Eagle Wings,0.010174029,0.011267301,0.024188295,0.009449633
RG043,Eagle Wings,0.01024366,0.011306459,0.023916317,0.00933191
RG045,Governor's Island,0.009185512,0.010428049,0.024641428,0.009785204
RG048,Governor's Island,0.010068211,0.011175279,0.024028589,0.009474019
RG049,Governor's Island,0.010185432,0.011256111,0.02394537,0.009310331
RG050,Governor's Island,0.004889287,0.006478933,0.027465795,0.012611456
