,RGnumSampled,variable,value,Location
1,1,usearch.RG025,1,Governors Island
2,100,usearch.RG025,10.63,Governors Island
3,200,usearch.RG025,15.104,Governors Island
4,300,usearch.RG025,18.155,Governors Island
5,400,usearch.RG025,20.395,Governors Island
6,500,usearch.RG025,22.271,Governors Island
7,600,usearch.RG025,23.799,Governors Island
8,700,usearch.RG025,25.107,Governors Island
9,800,usearch.RG025,26.189,Governors Island
10,900,usearch.RG025,27.13,Governors Island
11,1000,usearch.RG025,27.993,Governors Island
12,1100,usearch.RG025,28.79,Governors Island
13,1200,usearch.RG025,29.523,Governors Island
14,1300,usearch.RG025,30.126,Governors Island
15,1400,usearch.RG025,30.689,Governors Island
16,1500,usearch.RG025,31.208,Governors Island
17,1600,usearch.RG025,31.757,Governors Island
18,1700,usearch.RG025,32.23,Governors Island
19,1800,usearch.RG025,32.665,Governors Island
20,1900,usearch.RG025,33.026,Governors Island
21,2000,usearch.RG025,33.419,Governors Island
22,2100,usearch.RG025,33.762,Governors Island
23,2200,usearch.RG025,34.058,Governors Island
24,2300,usearch.RG025,34.35,Governors Island
25,2400,usearch.RG025,34.633,Governors Island
26,2500,usearch.RG025,34.854,Governors Island
27,2600,usearch.RG025,35.118,Governors Island
28,2700,usearch.RG025,35.354,Governors Island
29,2800,usearch.RG025,35.589,Governors Island
30,2900,usearch.RG025,35.816,Governors Island
31,3000,usearch.RG025,35.991,Governors Island
32,3100,usearch.RG025,36.191,Governors Island
33,3200,usearch.RG025,36.383,Governors Island
34,3300,usearch.RG025,36.525,Governors Island
35,3400,usearch.RG025,36.671,Governors Island
36,3500,usearch.RG025,36.817,Governors Island
37,3600,usearch.RG025,36.962,Governors Island
38,3700,usearch.RG025,37.093,Governors Island
39,3800,usearch.RG025,37.227,Governors Island
40,3900,usearch.RG025,37.332,Governors Island
41,4000,usearch.RG025,37.486,Governors Island
42,4100,usearch.RG025,37.591,Governors Island
43,4200,usearch.RG025,37.705,Governors Island
44,4300,usearch.RG025,37.803,Governors Island
45,4400,usearch.RG025,37.904,Governors Island
46,4500,usearch.RG025,38.015,Governors Island
47,4600,usearch.RG025,38.1,Governors Island
48,4700,usearch.RG025,38.205,Governors Island
49,4800,usearch.RG025,38.314,Governors Island
50,4900,usearch.RG025,38.412,Governors Island
51,5000,usearch.RG025,38.497,Governors Island
52,5100,usearch.RG025,38.588,Governors Island
53,5200,usearch.RG025,38.679,Governors Island
54,5300,usearch.RG025,38.743,Governors Island
55,5400,usearch.RG025,38.824,Governors Island
56,5500,usearch.RG025,38.881,Governors Island
57,5600,usearch.RG025,38.944,Governors Island
58,5700,usearch.RG025,39.019,Governors Island
59,5800,usearch.RG025,39.094,Governors Island
60,5900,usearch.RG025,39.166,Governors Island
61,6000,usearch.RG025,39.234,Governors Island
62,6100,usearch.RG025,39.298,Governors Island
63,6200,usearch.RG025,39.361,Governors Island
64,6300,usearch.RG025,39.426,Governors Island
65,6400,usearch.RG025,39.495,Governors Island
66,6500,usearch.RG025,39.557,Governors Island
67,6600,usearch.RG025,39.616,Governors Island
68,6700,usearch.RG025,39.674,Governors Island
69,6800,usearch.RG025,39.72,Governors Island
70,6900,usearch.RG025,39.765,Governors Island
71,7000,usearch.RG025,39.826,Governors Island
72,7100,usearch.RG025,39.874,Governors Island
73,7200,usearch.RG025,39.922,Governors Island
74,7300,usearch.RG025,39.97,Governors Island
75,7400,usearch.RG025,40.017,Governors Island
76,7500,usearch.RG025,40.06,Governors Island
77,7600,usearch.RG025,40.113,Governors Island
78,7700,usearch.RG025,40.162,Governors Island
79,7800,usearch.RG025,40.212,Governors Island
80,7900,usearch.RG025,40.262,Governors Island
81,8000,usearch.RG025,40.299,Governors Island
82,8100,usearch.RG025,40.353,Governors Island
83,8200,usearch.RG025,40.401,Governors Island
84,8300,usearch.RG025,40.442,Governors Island
85,8400,usearch.RG025,40.483,Governors Island
86,8500,usearch.RG025,40.528,Governors Island
87,8600,usearch.RG025,40.568,Governors Island
88,8700,usearch.RG025,40.621,Governors Island
89,8800,usearch.RG025,40.658,Governors Island
90,8900,usearch.RG025,40.694,Governors Island
91,9000,usearch.RG025,40.738,Governors Island
92,9100,usearch.RG025,40.77,Governors Island
93,9200,usearch.RG025,40.805,Governors Island
94,9300,usearch.RG025,40.831,Governors Island
95,9400,usearch.RG025,40.884,Governors Island
96,9500,usearch.RG025,40.916,Governors Island
97,9600,usearch.RG025,40.949,Governors Island
98,9700,usearch.RG025,40.995,Governors Island
99,9800,usearch.RG025,41.03,Governors Island
100,9900,usearch.RG025,41.06,Governors Island
101,10000,usearch.RG025,41.095,Governors Island
102,10100,usearch.RG025,41.13,Governors Island
103,10200,usearch.RG025,41.16,Governors Island
104,10300,usearch.RG025,41.2,Governors Island
105,10400,usearch.RG025,41.233,Governors Island
106,10500,usearch.RG025,41.263,Governors Island
107,10600,usearch.RG025,41.291,Governors Island
108,10700,usearch.RG025,41.323,Governors Island
109,10800,usearch.RG025,41.363,Governors Island
110,10900,usearch.RG025,41.386,Governors Island
111,11000,usearch.RG025,41.409,Governors Island
112,11100,usearch.RG025,41.438,Governors Island
113,11200,usearch.RG025,41.47,Governors Island
114,11300,usearch.RG025,41.495,Governors Island
115,11400,usearch.RG025,41.522,Governors Island
116,11500,usearch.RG025,41.557,Governors Island
117,11600,usearch.RG025,41.595,Governors Island
118,11700,usearch.RG025,41.621,Governors Island
119,11800,usearch.RG025,41.659,Governors Island
120,11900,usearch.RG025,41.692,Governors Island
121,12000,usearch.RG025,41.722,Governors Island
122,12100,usearch.RG025,41.747,Governors Island
123,12200,usearch.RG025,41.778,Governors Island
124,12300,usearch.RG025,41.798,Governors Island
125,12400,usearch.RG025,41.83,Governors Island
126,12500,usearch.RG025,41.853,Governors Island
127,12600,usearch.RG025,41.883,Governors Island
128,12700,usearch.RG025,41.905,Governors Island
129,12800,usearch.RG025,41.941,Governors Island
130,12900,usearch.RG025,41.973,Governors Island
131,13000,usearch.RG025,41.997,Governors Island
132,13100,usearch.RG025,42.025,Governors Island
133,13200,usearch.RG025,42.053,Governors Island
134,13300,usearch.RG025,42.083,Governors Island
135,13400,usearch.RG025,42.11,Governors Island
136,13500,usearch.RG025,42.136,Governors Island
137,13600,usearch.RG025,42.158,Governors Island
138,13700,usearch.RG025,42.192,Governors Island
139,13800,usearch.RG025,42.217,Governors Island
140,13900,usearch.RG025,42.25,Governors Island
141,14000,usearch.RG025,42.274,Governors Island
142,14100,usearch.RG025,42.293,Governors Island
143,14200,usearch.RG025,42.331,Governors Island
144,14300,usearch.RG025,42.353,Governors Island
145,14400,usearch.RG025,42.372,Governors Island
146,14500,usearch.RG025,42.394,Governors Island
147,14600,usearch.RG025,42.417,Governors Island
148,14700,usearch.RG025,42.439,Governors Island
149,14800,usearch.RG025,42.467,Governors Island
150,14900,usearch.RG025,42.49,Governors Island
151,15000,usearch.RG025,42.511,Governors Island
152,15100,usearch.RG025,42.532,Governors Island
153,15200,usearch.RG025,42.565,Governors Island
154,15300,usearch.RG025,42.588,Governors Island
155,15400,usearch.RG025,42.611,Governors Island
156,15500,usearch.RG025,42.63,Governors Island
157,15600,usearch.RG025,42.654,Governors Island
158,15700,usearch.RG025,42.674,Governors Island
159,15800,usearch.RG025,42.699,Governors Island
160,15900,usearch.RG025,42.723,Governors Island
161,16000,usearch.RG025,42.753,Governors Island
162,16100,usearch.RG025,42.777,Governors Island
163,16200,usearch.RG025,42.8,Governors Island
164,16300,usearch.RG025,42.824,Governors Island
165,16400,usearch.RG025,42.839,Governors Island
166,16500,usearch.RG025,42.861,Governors Island
167,16600,usearch.RG025,42.884,Governors Island
168,16700,usearch.RG025,42.909,Governors Island
169,16800,usearch.RG025,42.928,Governors Island
170,16900,usearch.RG025,42.951,Governors Island
171,17000,usearch.RG025,42.97,Governors Island
172,17100,usearch.RG025,42.998,Governors Island
173,17200,usearch.RG025,43.021,Governors Island
174,17300,usearch.RG025,43.043,Governors Island
175,17400,usearch.RG025,43.06,Governors Island
176,17500,usearch.RG025,43.08,Governors Island
177,17600,usearch.RG025,43.101,Governors Island
178,17700,usearch.RG025,43.118,Governors Island
179,17800,usearch.RG025,43.13,Governors Island
180,17900,usearch.RG025,43.153,Governors Island
181,18000,usearch.RG025,43.17,Governors Island
182,18100,usearch.RG025,43.19,Governors Island
183,18200,usearch.RG025,43.213,Governors Island
184,18300,usearch.RG025,43.235,Governors Island
185,18400,usearch.RG025,43.256,Governors Island
186,18500,usearch.RG025,43.274,Governors Island
187,18600,usearch.RG025,43.292,Governors Island
188,18700,usearch.RG025,43.306,Governors Island
189,18800,usearch.RG025,43.317,Governors Island
190,18900,usearch.RG025,43.336,Governors Island
191,19000,usearch.RG025,43.354,Governors Island
