Sample,Location,Null
RG025,Governors Island,Governors Island
RG026,Governors Island,Governors Island
RG027,Governors Island,Governors Island
RG029,Governors Island,Governors Island
RG031,Eagle Wings,Eagle Wings
RG032,Eagle Wings,Eagle Wings
RG033,Eagle Wings,Eagle Wings
RG034,Eagle Wings,Eagle Wings
RG037,Eagle Wings,Eagle Wings
RG038,Eagle Wings,Eagle Wings
RG043,Eagle Wings,Eagle Wings
RG045,Eagle Wings,Eagle Wings
RG048,Governors Island,Governors Island
RG049,Governors Island,Governors Island
RG050,Governors Island,Governors Island
