#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,,,,,,
Otu55,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,428621,828958,OTU1,OTU2,OTU3
Otu13,1159,0,0,65,25,0,0,0,0,526,167,0,0,9,2468,3701,,,1364868,130165,58564
Otu1,30244,146452,10512,126194,184534,146497,165858,92300,167443,43799,121412,14404,87209,27505,505,428621,,,0.717090255,0.068387605,0.030769037
Otu33,793,25,0,0,0,0,121,324,10,1349,54,236,1507,6,136,2467,,,,,
Otu3,54086,1,0,2,0,29,0,0,0,339,0,252,60,51,3744,57944,,,EW,8,4
Otu9,17372,0,2,0,0,0,0,0,0,0,0,2,0,15,0,17389,,,936247,27180,11436
Otu268,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,,0.870890986,0.025282663,0.010637694
Otu93,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,,,,,
Otu38,1241,0,98,0,0,0,0,0,0,0,0,374,1441,12,0,2792,,,,,
Otu18,2256,0,0,0,1,1063,0,0,0,299,7,1517,0,56,1174,3486,,,GI,,
Otu168,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,,,428621,127444,57944
Otu180,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,,,0.517059972,0.153739996,0.069899802
Otu95,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,,,,,
Otu52,352,194,0,0,4,1,0,446,0,0,0,218,0,0,0,546,,,,,
Otu149,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,,,,,
Otu14,564,37,0,84,38,2635,74,344,0,2362,0,2150,0,0,735,1420,,,,,
Otu46,692,0,0,0,0,161,0,115,0,0,0,0,0,12,0,704,,,,,
Otu244,52,0,7,0,0,0,1,0,43,0,0,0,0,0,0,59,,,,,
Otu117,165,0,0,0,0,0,0,0,0,242,0,0,0,0,0,165,,,,,
Otu58,122,0,0,0,0,3,0,0,0,128,0,649,0,0,0,122,,,,,
Otu407,120,60,48,0,8,144,0,0,0,0,0,268,285,30,0,543,,,,,
Otu7,190,181,34,49,20,410,192,490,80,14,2142,1336,3173,4566,10336,18529,,,,,
Otu177,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,,,,,
Otu53,177,0,0,0,0,637,0,0,638,474,1,245,372,0,26,575,,,,,
Otu12,292,0,2653,0,12,0,0,0,0,0,1,0,1144,48,0,4137,,,,,
Otu60,425,0,0,0,0,17,0,0,0,68,0,99,0,0,0,425,,,,,
Otu50,577,0,0,0,0,0,0,0,0,0,0,1,0,0,0,577,,,,,
Otu212,50,25,0,0,0,0,0,0,0,0,76,45,0,0,0,75,,,,,
Otu130,177,1,32,0,0,3,0,0,0,0,0,0,0,0,0,210,,,,,
Otu19,90,0,27,0,0,2,26,0,58,0,103,0,0,414,1696,2227,,,,,
Otu69,158,0,0,0,0,112,0,0,0,730,39,2,0,16,390,564,,,,,
Otu47,84,0,0,0,0,7,3,0,0,477,2,0,0,267,0,351,,,,,
Otu89,55,0,0,0,0,0,0,0,0,0,0,0,0,0,307,362,,,,,
Otu65,35,0,0,0,0,231,0,0,0,931,0,0,0,0,0,35,,,,,
Otu246,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,,,,,
Otu303,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,,
Otu442,5,1,0,0,0,15,4,0,0,1,0,0,0,0,0,6,,,,,
Otu85,20,0,59,0,0,0,0,0,0,0,0,0,456,0,0,535,,,,,
Otu17,65,0,22,0,1,152,0,0,0,344,31,64,0,0,1761,1848,,,,,
Otu450,2,2,0,0,0,0,1,0,0,3,0,0,0,0,1,5,,,,,
Otu544,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,,,,,
Otu314,3,0,0,0,3,0,0,0,16,0,0,0,0,0,0,3,,,,,
Otu143,19,0,0,0,0,0,8,0,0,0,0,0,0,0,199,218,,,,,
Otu2,5,2301,79870,266,13,5,2,13,3,591,83,2011,1579,43423,0,127444,,,,,
