"","ftu"
"RG025",0.236121212121212
"RG026",0.0368242424242424
"RG027",0.913284848484848
"RG029",0.0285090909090909
"RG031",0.0461818181818182
"RG032",0.0737212121212121
"RG033",0.0095515151515152
"RG034",0.185890909090909
"RG037",0.032969696969697
"RG038",0.30409696969697
"RG043",0.140509090909091
"RG045",0.565236363636364
"RG048",0.211151515151515
"RG049",0.736
"RG050",0.699490909090909
"YBH039",0.992193939393939
"YBH041",0.879587878787879
"YBH051",0.888412121212121
"YBH052",0.983612121212121
"YBH053",0.320581818181818
"YBH055",0.96569696969697
"YBH056",0.99769696969697
