,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,AVG,SD,SE,,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,AVG,SD,SE
Otu6,0,0.00014716,0.000138879,0,0,0.001657226,0,0,0,0,0,3.20E-05,0,0,0,0.000131686,0.000424958,0.000109724,,0.001623921,0.087785761,0.218817186,0.093455642,0.115503428,0.011705375,0.001512771,0.075772012,0.079177497,0.029926281
Otu11,0.002022449,0.001079172,0.000451358,0.000364343,0.000172699,0.002547676,0.000997349,0.004102928,0.00312561,0.000241358,0.015754499,0.042786229,0.028555296,0.056485623,0.330471312,0.032610527,0.084254824,0.021754502,,0.00059286,0.005591117,0.028631881,0.007141538,0.006605219,0.017146649,0.002909176,0.009802634,0.009796739,0.003702819
Otu14,0.158939225,0,3.47E-05,0,0,0,0,0,0,0,4.98E-05,6.41E-05,0,0.000159744,0,0.010616501,0.041032269,0.010594486,,7.73E-05,0,0,0,0,0,5.82E-05,1.94E-05,3.35E-05,1.27E-05
Otu5,0.49175852,0,0,0.000461501,2.47E-05,0.004575923,0,0,0,0.008742525,0.000298663,0.033755004,0.001317523,0.000830671,0.117809633,0.043971642,0.127599393,0.032946022,,0.000103106,2.61E-05,0,0,0,2.65E-05,0.001105487,0.00018018,0.000409647,0.000154832
Otu25,0.008266761,0.00022074,0,0.000388632,0.000296055,0.021717084,0.001216279,0.003064532,0.004004688,0.049585669,0,0.10786229,0.002984593,0.00172524,0.024578988,0.01506077,0.029122632,0.007519431,,0.000541307,0,0,0,2.51E-05,5.31E-05,8.73E-05,0.000100969,0.000196942,7.44E-05
Otu1,0.278289008,0.970028451,0.112249149,0.816492592,0.957442084,0.939597813,0.99236177,0.786115895,0.96928111,0.726594974,0.869533836,0.451240993,0.802505983,0.342076677,0.016177175,0.668665834,0.33612255,0.086786469,,0.007784508,0.127106466,0.15216872,0.020347226,0.694200969,0.037027206,0.000174551,0.148401378,0.247962103,0.093720866
Otu7,0,0,0.00558989,0,0.000888165,0,0,0,0,2.68E-05,0.007566142,3.20E-05,0.009303326,0.024728435,0,0.003208987,0.006723452,0.001735988,,0.046165743,0.611521881,0.450226939,0.328910915,0.002687294,0.060199071,0.296997731,0.256672796,0.23009031,0.086965963
Otu2,7.58E-05,0.015353674,0.855739185,0.001627399,0.013939259,0.004105964,4.87E-05,0.000101307,0,0.01011022,0.000497772,0.064403523,0.014842301,0.532268371,0,0.100874231,0.248981518,0.064286752,,0.930996262,0.097478772,0.003549125,0.218001601,0.076801366,0.829701393,0.622330831,0.396979907,0.387780143,0.146567117
Otu43,0,0,0.000798556,0.00051008,0.002319098,0,0.001289255,0,0,0,0.004927947,0,0.001102417,0.009041534,0,0.001332592,0.002514963,0.000649361,,0.002861193,0,0.065283418,0.11949763,0,0.024286662,0.040612091,0.036077285,0.04411724,0.016674749
Otu12,0,0.000784852,0.006249566,0.090964294,0.019934374,0.004848005,0.001435209,0.191014082,2.44E-05,5.36E-05,0.079992036,0.009927942,0.064935065,3.19E-05,0,0.031346362,0.054247079,0.014006536,,0.000309318,0,0.001057912,9.23E-05,0.103448276,0,0,0.014986836,0.039009683,0.014744274
,0.939351805,0.987614049,0.981251302,0.910808841,0.995016406,0.979049692,0.997348512,0.984398744,0.976435827,0.795355199,0.978620672,0.710104083,0.925546503,0.967348243,0.489037108,0.907819133,0.141425576,0.036515927,,0.991055548,0.929510124,0.919735181,0.7874469,0.999271668,0.980145985,0.965788096,0.938993357,0.073237719,0.027681256
