"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050"
"Otu13",391,0,0,22,3,0,0,0,0,325,50,179,0,2,2495
"Otu1",10856,39272,3255,33264,38465,37653,40493,30478,39466,26736,34421,14404,29518,10661,428
"Otu33",294,5,0,0,0,0,30,109,6,831,21,236,523,3,118
"Otu3",19516,1,0,36,0,175,0,0,0,332,7,1054,53,26,3197
"Otu9",6361,0,0,0,0,0,0,0,0,0,1,2,0,9,0
"Otu268",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu93",101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu38",437,0,32,0,0,0,0,0,0,0,0,374,483,4,0
"Otu180",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu149",49,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Otu14",306,11,0,24,9,855,37,106,151,1863,0,3366,132,63,663
"Otu46",266,0,0,0,0,39,0,30,0,0,0,0,0,4,0
"Otu7",68,47,7,9,2,81,49,152,122,7,611,1336,1081,1759,8884
"Otu177",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu50",199,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Otu212",16,4,0,0,0,0,0,0,0,0,22,45,0,0,0
"Otu69",47,0,0,0,0,31,0,0,0,448,10,2,0,9,340
"Otu89",19,0,0,0,1,0,0,0,0,0,4,0,0,2,266
"Otu65",68,0,0,0,0,60,0,0,0,735,0,232,0,0,0
"Otu303",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu17",27,0,7,0,1,43,0,0,0,205,9,64,0,0,1512
"Otu544",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu143",4,0,0,0,0,0,3,0,0,0,0,0,0,0,172
"Otu2",1,635,24675,66,556,189,2,6,0,371,24,2011,569,16703,0
"Otu200",1,0,0,0,0,0,0,0,0,0,0,86,0,0,0
"Otu44",0,54,11,80,0,0,0,676,0,0,13,454,0,0,0
"Otu56",0,179,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu139",0,101,21,11,3,2,24,0,26,0,19,0,0,0,0
"Otu21",0,64,190,0,2,38,0,0,173,4,38,2,0,18,0
"Otu245",0,15,0,0,0,0,3,0,0,0,0,0,0,0,0
"Otu237",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu96",0,2,4,0,3,62,0,1,0,0,0,1,0,0,0
"Otu387",0,3,0,0,0,0,0,0,0,0,5,0,0,0,0
"Otu10",0,3,1,2922,1,0,11,0,0,0,22,130,264,0,38
"Otu247",0,18,0,0,3,0,0,0,6,0,8,0,0,0,0
"Otu105",0,0,0,0,0,0,29,96,0,0,23,0,0,0,0
