"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"Otu24",1159,0,0,65,25,0,0,0,0,526,167,179,0,9,2871,32,0,2,0,0,2,1
"Otu1",30245,146456,10512,126197,184549,146502,165858,92300,167446,43799,121416,14090,87209,27505,505,1417,20794,12847,2305,102123,5076,24
"Otu5",54089,2,0,114,1,689,0,0,0,548,31,1054,176,58,3744,35,2,0,1,0,1,151
"Otu45",795,27,0,0,0,0,122,324,10,1352,54,236,1507,6,137,115,4,0,68,1,0,1
"Otu14",17372,0,2,0,0,0,0,0,0,0,15,2,0,15,0,15,0,0,0,0,0,13
"Otu303",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
"Otu51",1241,0,98,0,0,0,0,0,0,0,0,374,1441,12,0,9,0,0,0,0,0,223
"Otu113",304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu205",116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu175",145,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
"Otu25",870,38,0,84,42,3438,170,344,638,3027,1,3368,372,167,761,124,0,3,1,1,3,12
"Otu60",692,0,0,0,0,161,0,115,0,0,0,0,0,12,0,16,0,0,0,0,0,0
"Otu11",190,181,34,49,20,410,192,490,538,14,2156,1336,3173,4566,10336,114,966,2548,822,858,2407,423
"Otu202",122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu65",577,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu236",50,25,0,0,0,0,0,0,0,0,76,45,0,0,0,0,0,0,0,0,0,0
"Otu88",158,0,0,0,0,112,0,0,0,730,39,2,0,16,390,0,0,0,7,0,0,0
"Otu108",55,0,0,0,0,0,0,0,0,0,8,0,0,9,307,0,0,0,0,0,0,17
"Otu80",200,0,0,0,0,231,0,0,0,1173,0,232,0,0,0,14,0,0,0,0,0,0
"Otu351",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu29",65,0,22,0,1,152,0,0,0,344,31,64,0,0,1761,0,0,0,0,0,0,0
"Otu167",19,0,0,0,0,0,8,0,0,0,0,0,0,0,199,29,0,4,0,5,4,0
"Otu2",6,2301,79919,266,2600,655,2,17,4,593,83,2011,1579,43419,0,188285,16156,326,24251,11397,117069,79335
"Otu100",3,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,2,21,276,5,47,44
"Otu72",0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu161",0,384,65,25,5,7,70,0,93,0,62,0,0,0,0,0,0,8,0,0,0,0
"Otu33",0,279,643,0,11,143,1,0,796,14,167,2,0,39,0,0,0,5,0,7,0,0
"Otu270",0,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Otu264",0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu6",0,12,9,0,11,248,0,1,0,1,1,1,0,0,0,303,14508,18842,10439,17276,1669,188
"Otu15",0,10,1,11345,13,0,57,0,0,0,72,130,797,2,42,5,0,0,0,1,0,0
"Otu273",0,65,0,0,23,2,0,0,39,0,27,0,0,0,0,0,0,0,0,0,0,0
"Otu123",0,7,0,0,1,0,92,257,0,0,96,0,0,0,0,0,0,0,0,0,1,0
"Otu261",0,8,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,4,0,0,0,0
"Otu12",0,94,510,14138,3705,715,219,22557,2,3,11218,310,7022,11,0,77,1,97,19,15198,3,0
"Otu159",0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,33,0,80,88,3,0,5
"Otu28",397,61,48,0,8,148,8,22,1870,528,0,268,286,30,0,6,0,8,0,0,2,0
"Otu545",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu299",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,0,27,50,0,7,31
"Otu325",0,0,130,0,5,0,0,0,0,0,2,0,0,2,0,291,9,1121,1006,1,393,1316
"Otu212",0,0,113,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,3,0,0,0
"Otu85",130,0,354,0,8,0,0,0,28,0,282,29,460,233,0,39,1,165,282,0,158,146
"Otu195",0,0,39,0,1,37,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"Otu152",0,0,33,0,3,0,0,0,0,148,0,135,0,0,0,2,3,0,1,0,0,0
"Otu73",0,0,99,0,0,0,0,0,0,0,0,0,0,71,0,1,0,363,262,0,124,307
"Otu20",0,0,10,0,0,0,0,0,0,0,0,1,0,388,0,409,231,2039,3649,0,1045,1415
"Otu69",0,0,1,0,0,0,0,0,0,0,0,682,1,0,0,30,0,0,0,0,0,0
"Otu35",0,0,0,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu49",57,0,6,591,98,312,0,726,0,1,0,0,722,13,176,2,0,0,53,0,24,0
"Otu177",0,0,0,12,0,0,17,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu39",0,0,0,0,634,782,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu120",0,0,0,0,3,1,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
"Otu329",0,0,0,0,10,2,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
"Otu745",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu251",0,0,0,0,8,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0
"Otu4",0,0,513,0,167,0,0,0,0,1,1077,1,1030,2037,0,9187,99394,38843,36336,344,8447,37675
"Otu326",0,1,0,0,1,0,0,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0
"Otu222",0,0,0,0,4,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0
"Otu519",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Otu581",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu216",0,0,0,0,1,0,0,0,0,0,84,0,0,52,0,0,0,0,0,0,0,0
"Otu731",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu229",0,0,0,0,1,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
"Otu128",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,319,1475,2529,390,1,300,510
"Otu32",0,0,0,0,0,184,0,0,0,0,0,6,0,0,2130,0,1,5,0,0,0,34
"Otu255",0,0,0,0,0,34,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu131",0,0,0,0,0,82,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0
"Otu312",0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16897,2,0,0
"Otu281",0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Otu54",0,0,0,0,0,0,0,196,0,783,0,0,0,0,0,0,0,0,0,0,0,0
"Otu178",0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0
