Genus,Species,Average,SD,SE
Plesiomonas (Proteobacteria),Round Goby,0.0001,0.0004,0.0001
Choanozoa (Eukaryota),Round Goby,0.0326,0.0843,0.0218
Rothia (Actinobacteria),Round Goby,0.0106,0.0410,0.0106
Streptococcus (Firmicutes),Round Goby,0.0440,0.1276,0.0329
Corynebacterium (Actinobacteria),Round Goby,0.0151,0.0291,0.0075
Aeromonas (Proteobacteria),Round Goby,0.6687,0.3361,0.0868
Clostridium sensu stricto 1 (Firmicutes),Round Goby,0.0032,0.0067,0.0017
Cetobacterium (Fusobacteria),Round Goby,0.1009,0.2490,0.0643
Epulopiscium (Firmicutes),Round Goby,0.0013,0.0025,0.0006
Shewanella (Proteobacteria),Round Goby,0.0313,0.0542,0.0140
Plesiomonas (Proteobacteria),Yellow Bullhead,0.0758,0.0792,0.0299
Choanozoa (Eukaryota),Yellow Bullhead,0.0098,0.0098,0.0037
Rothia (Actinobacteria),Yellow Bullhead,0.0000,0.0000,0.0000
Streptococcus (Firmicutes),Yellow Bullhead,0.0002,0.0004,0.0002
Corynebacterium (Actinobacteria),Yellow Bullhead,0.0001,0.0002,0.0001
Aeromonas (Proteobacteria),Yellow Bullhead,0.1484,0.2480,0.0937
Clostridium sensu stricto 1 (Firmicutes),Yellow Bullhead,0.2567,0.2301,0.0870
Cetobacterium (Fusobacteria),Yellow Bullhead,0.3970,0.3878,0.1466
Epulopiscium (Firmicutes),Yellow Bullhead,0.0361,0.0441,0.0167
Shewanella (Proteobacteria),Yellow Bullhead,0.0150,0.0390,0.0147
