R_R,R_Y,Y_Y
0.461280904,0.588792077,0.410279278
0.544932805,0.487759924,0.509992872
0.467044599,0.480095399,0.361854646
0.463795683,0.529887191,0.478719213
0.441050802,0.474956525,0.057114492
0.465239439,0.564579594,0.136658137
0.483725582,0.529274936,0.410279278
0.451981038,0.433665657,0.191601607
0.437911068,0.301664819,0.229780979
0.463883196,0.376068834,0.240664608
0.421301693,0.419618005,0.370243634
0.444892178,0.198572431,0.308532069
0.456712558,0.427095585,0.509992872
0.616449781,0.391128164,0.191601607
0.461280904,0.05203157,0.274330567
0.400960249,0.379313058,0.297420945
0.114157546,0.470456746,0.453908024
0.018421182,0.351899304,0.381553242
0.03088027,0.43113985,0.361854646
0.015416861,0.051329204,0.229780979
0.17628932,0.132662673,0.274330567
0.016166258,0.476542124,0.348015982
0.177466418,0.311363625,0.314492831
0.092865351,0.372579172,0.23704535
0.33510464,0.423689915,0.478719213
0.119502855,0.119783863,0.240664608
0.308851338,0.457217549,0.297420945
0.74438588,0.419932828,0.348015982
0.544932805,0.440599496,0.443833713
0.400960249,0.307801851,0.417857671
0.427048583,0.372991009,0.057114492
0.393274361,0.419815497,0.370243634
0.406513484,0.185081286,0.453908024
0.408583064,0.43150769,0.314492831
0.475850704,0.3916739,0.443833713
0.40736338,0.446923498,0.107716051
0.450645629,0.305626387,0.136658137
0.430750371,0.370986245,0.308532069
0.473250699,0.420220232,0.381553242
0.424991434,0.198412623,0.23704535
0.179153487,0.430990331,0.417857671
0.74562633,0.393394457,0.107716051
0.467044599,0.442209179,
0.114157546,0.312544298,
0.427048583,0.382162202,
0.098252741,0.430910913,
0.110470741,0.207155583,
0.116175401,0.438292011,
0.091810136,0.402660991,
0.114061434,0.522465559,
0.160221002,0.338848343,
0.046860195,0.380712188,
0.32167226,0.449462152,
0.058425442,0.122874658,
0.324435471,0.501613325,
0.732886424,0.465745022,
0.463795683,0.444916821,
0.018421182,0.304728159,
0.393274361,0.372437946,
0.098252741,0.422236525,
0.030232127,0.201784334,
0.024598358,0.430279241,
0.163242546,0.393925578,
0.023899554,0.494787525,
0.172351843,0.304322169,
0.080573794,0.350788953,
0.33019105,0.411766654,
0.107402641,0.186390895,
0.313549697,0.466467807,
0.744181934,0.429520907,
0.441050802,0.47718788,
0.03088027,0.304913904,
0.406513484,0.35824133,
0.110470741,0.413641736,
0.030232127,0.125308883,
0.035714398,0.445972856,
0.167222692,0.415804081,
0.025105911,0.518829955,
0.156363445,0.323682624,
0.086680938,0.332601694,
0.315514788,0.391920646,
0.109201796,0.260272294,
0.309837653,0.477787643,
0.719183241,0.450557685,
0.465239439,0.473767857,
0.015416861,0.289948718,
0.408583064,0.345364522,
0.116175401,0.397955505,
0.024598358,0.123892184,
0.035714398,0.438174444,
0.176843647,0.412115354,
0.019065793,0.213394143,
0.186402855,0.290490488,
0.094932589,0.366428859,
0.347500783,0.272125494,
0.128115649,0.300126026,
0.319825849,0.168644277,
0.748986231,0.141325996,
0.483725582,0.750408042,
0.17628932,0.633167096,
0.475850704,0.55669256,
0.091810136,0.670359121,
0.163242546,0.679626487,
0.167222692,0.724469857,
0.176843647,0.731325969,
0.170348046,,
0.187322141,,
0.100562746,,
0.331775502,,
0.107007383,,
0.367394863,,
0.733690812,,
0.451981038,,
0.016166258,,
0.40736338,,
0.114061434,,
0.023899554,,
0.025105911,,
0.019065793,,
0.170348046,,
0.17266963,,
0.087955488,,
0.332162961,,
0.118887799,,
0.308961541,,
0.736140549,,
0.437911068,,
0.177466418,,
0.450645629,,
0.160221002,,
0.172351843,,
0.156363445,,
0.186402855,,
0.187322141,,
0.17266963,,
0.159851948,,
0.218697073,,
0.136297067,,
0.328590505,,
0.654957938,,
0.463883196,,
0.092865351,,
0.430750371,,
0.046860195,,
0.080573794,,
0.086680938,,
0.094932589,,
0.100562746,,
0.087955488,,
0.159851948,,
0.314678698,,
0.054126631,,
0.311433811,,
0.718867324,,
0.421301693,,
0.33510464,,
0.473250699,,
0.32167226,,
0.33019105,,
0.315514788,,
0.347500783,,
0.331775502,,
0.332162961,,
0.218697073,,
0.314678698,,
0.277464698,,
0.319552798,,
0.592027695,,
0.444892178,,
0.119502855,,
0.424991434,,
0.058425442,,
0.107402641,,
0.109201796,,
0.128115649,,
0.107007383,,
0.118887799,,
0.136297067,,
0.054126631,,
0.277464698,,
0.299386205,,
0.693611577,,
0.456712558,,
0.308851338,,
0.179153487,,
0.324435471,,
0.313549697,,
0.309837653,,
0.319825849,,
0.367394863,,
0.308961541,,
0.328590505,,
0.311433811,,
0.319552798,,
0.299386205,,
0.691498887,,
0.616449781,,
0.74438588,,
0.74562633,,
0.732886424,,
0.744181934,,
0.719183241,,
0.748986231,,
0.733690812,,
0.736140549,,
0.654957938,,
0.718867324,,
0.592027695,,
0.693611577,,
0.691498887,,
