"","RG025","RG026","RG027","RG029","RG031","RG032","RG033","RG034","RG037","RG038","RG043","RG045","RG048","RG049","RG050","YBH039","YBH041","YBH051","YBH052","YBH053","YBH055","YBH056"
"RG025",0,0.46128090401642,0.544932805276185,0.467044598868737,0.463795683267314,0.441050802059534,0.465239439196022,0.483725582070534,0.451981038237199,0.437911068137551,0.463883196397679,0.421301693027502,0.444892177602802,0.456712557894796,0.616449780966012,0.588792076884108,0.487759923793728,0.480095398700428,0.529887191123034,0.474956524751716,0.564579594323678,0.529274935702478
"RG026",0.46128090401642,0,0.40096024925411,0.114157545582203,0.0184211816581674,0.0308802699149155,0.0154168609311646,0.176289319791084,0.0161662577269738,0.177466418433866,0.0928653513525159,0.335104640289581,0.11950285516376,0.308851338285335,0.744385879567359,0.433665656539363,0.301664819121083,0.376068834112999,0.419618004561306,0.198572430602447,0.427095584600605,0.391128164496552
"RG027",0.544932805276185,0.40096024925411,0,0.427048583026869,0.393274360989104,0.406513484058967,0.408583064446451,0.475850703642279,0.407363380033161,0.450645628631483,0.430750370583649,0.473250698887964,0.42499143378448,0.179153487030851,0.745626329567837,0.0520315704760629,0.379313057701785,0.470456745834263,0.351899304349215,0.431139849595904,0.0513292039066358,0.132662672973213
"RG029",0.467044598868737,0.114157545582203,0.427048583026869,0,0.0982527411846347,0.110470740570869,0.116175401252802,0.0918101355012827,0.114061433503191,0.160221002413121,0.0468601951604537,0.321672259702905,0.0584254420207934,0.324435470888067,0.73288642427891,0.476542123501054,0.311363624937413,0.372579171579218,0.42368991495798,0.119783863367959,0.457217548966928,0.41993282757545
"RG031",0.463795683267314,0.0184211816581674,0.393274360989104,0.0982527411846347,0,0.030232126899494,0.0245983582097101,0.163242546350947,0.0238995544167109,0.17235184275749,0.0805737941011682,0.330191049505873,0.107402641057486,0.313549696673633,0.744181933900354,0.440599496335333,0.307801850740722,0.37299100869121,0.419815496838093,0.185081285788459,0.431507689631626,0.391673900206062
"RG032",0.441050802059534,0.0308802699149155,0.406513484058967,0.110470740570869,0.030232126899494,0,0.0357143983063313,0.167222692045212,0.0251059108119131,0.156363445140434,0.086680937919295,0.315514788255617,0.109201795672483,0.309837652592214,0.719183241301456,0.446923498496994,0.305626386512579,0.370986244707201,0.420220232113327,0.19841262346473,0.430990331413489,0.393394456817022
"RG033",0.465239439196022,0.0154168609311646,0.408583064446451,0.116175401252802,0.0245983582097101,0.0357143983063313,0,0.176843647026841,0.0190657930349763,0.186402855340277,0.0949325886639581,0.347500783139873,0.12811564884808,0.319825848878801,0.748986230870182,0.442209179109389,0.312544298159913,0.382162202056949,0.430910912826462,0.207155583472257,0.43829201108089,0.402660990515732
"RG034",0.483725582070534,0.176289319791084,0.475850703642279,0.0918101355012827,0.163242546350947,0.167222692045212,0.176843647026841,0,0.170348045777047,0.187322140664783,0.100562745572701,0.331775502253602,0.107007383185651,0.367394863107641,0.733690812263359,0.522465559012428,0.338848342944056,0.380712187721705,0.449462151941468,0.122874657993885,0.501613324576119,0.465745022491748
"RG037",0.451981038237199,0.0161662577269738,0.407363380033161,0.114061433503191,0.0238995544167109,0.0251059108119131,0.0190657930349763,0.170348045777047,0,0.172669629986155,0.0879554883580601,0.332162960681759,0.118887799293536,0.308961540737518,0.736140549361304,0.444916821413056,0.304728159193076,0.37243794625315,0.422236525399815,0.201784333860824,0.430279240767619,0.393925578491185
"RG038",0.437911068137551,0.177466418433866,0.450645628631483,0.160221002413121,0.17235184275749,0.156363445140434,0.186402855340277,0.187322140664783,0.172669629986155,0,0.159851948310755,0.218697072969741,0.136297066690622,0.328590504647534,0.654957938060579,0.494787524986861,0.304322168592872,0.350788952637084,0.411766653684273,0.186390895373672,0.466467807439354,0.429520906899385
"RG043",0.463883196397679,0.0928653513525159,0.430750370583649,0.0468601951604537,0.0805737941011682,0.086680937919295,0.0949325886639581,0.100562745572701,0.0879554883580601,0.159851948310755,0,0.314678697644747,0.0541266313900543,0.311433811222268,0.718867324465894,0.477187879774078,0.304913903910585,0.358241329831563,0.413641736243003,0.12530888256286,0.445972855904633,0.415804080626366
"RG045",0.421301693027502,0.335104640289581,0.473250698887964,0.321672259702905,0.330191049505873,0.315514788255617,0.347500783139873,0.331775502253602,0.332162960681759,0.218697072969741,0.314678697644747,0,0.277464697860074,0.319552797736336,0.592027694992392,0.518829955486277,0.323682624398504,0.33260169404807,0.391920645777526,0.260272293703149,0.477787642976892,0.450557685340394
"RG048",0.444892177602802,0.11950285516376,0.42499143378448,0.0584254420207934,0.107402641057486,0.109201795672483,0.12811564884808,0.107007383185651,0.118887799293536,0.136297066690622,0.0541266313900543,0.277464697860074,0,0.299386205260584,0.693611576655757,0.473767857093844,0.289948718480274,0.345364521890344,0.397955505076619,0.123892184119949,0.438174443527359,0.412115354492514
"RG049",0.456712557894796,0.308851338285335,0.179153487030851,0.324435470888067,0.313549696673633,0.309837652592214,0.319825848878801,0.367394863107641,0.308961540737518,0.328590504647534,0.311433811222268,0.319552797736336,0.299386205260584,0,0.691498887420858,0.213394143152556,0.290490488445545,0.36642885869802,0.272125494492195,0.300126025542018,0.168644277493166,0.141325995974499
"RG050",0.616449780966012,0.744385879567359,0.745626329567837,0.73288642427891,0.744181933900354,0.719183241301456,0.748986230870182,0.733690812263359,0.736140549361304,0.654957938060579,0.718867324465894,0.592027694992392,0.693611576655757,0.691498887420858,0,0.75040804243235,0.633167096173848,0.556692560191352,0.670359120660823,0.679626487335469,0.724469856704989,0.731325968675203
"YBH039",0.588792076884108,0.433665656539363,0.0520315704760629,0.476542123501054,0.440599496335333,0.446923498496994,0.442209179109389,0.522465559012428,0.444916821413056,0.494787524986861,0.477187879774078,0.518829955486277,0.473767857093844,0.213394143152556,0.75040804243235,0,0.410279278056951,0.509992872449059,0.361854646470622,0.478719213417009,0.0571144920223524,0.136658136673931
