Sample,Species,Location
RG025,Round Goby,Governors
RG026,Round Goby,Governors
RG027,Round Goby,Governors
RG029,Round Goby,Governors
RG031,Round Goby,Eagle Wings
RG032,Round Goby,Eagle Wings
RG033,Round Goby,Eagle Wings
RG034,Round Goby,Eagle Wings
RG037,Round Goby,Eagle Wings
RG038,Round Goby,Eagle Wings
RG043,Round Goby,Eagle Wings
RG045,Round Goby,Eagle Wings
RG048,Round Goby,Governors
RG049,Round Goby,Governors
RG050,Round Goby,Governors
YBH039,Yellow Bullhead,French Creek
YBH041,Yellow Bullhead,French Creek
YBH051,Yellow Bullhead,French Creek
YBH052,Yellow Bullhead,French Creek
YBH053,Yellow Bullhead,French Creek
YBH055,Yellow Bullhead,French Creek
YBH056,Yellow Bullhead,French Creek
