#OTU ID,RG025,RG026,RG027,RG029,RG031,RG032,RG033,RG034,RG037,RG038,RG043,RG045,RG048,RG049,RG050,YBH039,YBH041,YBH051,YBH052,YBH053,YBH055,YBH056,,,,YBH,,
Otu1,30244,146452,10512,126193,184533,146497,165858,92300,167442,43799,121410,14090,87209,27505,505,1416,20303,12376,2268,99885,5053,24,428620,428620,848758,OTU2,OTU1,OTU4
Otu71,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,661,,,436112,141325,65731
Otu5,54086,1,0,2,0,29,0,0,0,339,0,252,60,51,3744,32,2,0,0,0,1,142,57944,,,0.392045674,0.127045013,0.059089303
Otu45,793,25,0,0,0,0,121,324,10,1349,54,236,1507,6,136,115,4,0,68,1,0,1,2467,,,,,
Otu24,1159,0,0,65,25,0,0,0,0,526,167,0,0,9,2468,32,0,2,0,0,2,1,3701,,,,,
Otu14,17372,0,2,0,0,0,0,0,0,0,0,2,0,15,0,15,0,0,0,0,0,13,17389,,,RG,,
Otu303,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,,,OTU1,OTU2,OTU5
Otu51,1241,0,98,0,0,0,0,0,0,0,0,374,1441,12,0,0,0,0,0,0,0,201,2792,,,1364549,130134,58564
Otu113,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,,,0.717609597,0.068436829,0.030798519
Otu30,2256,0,0,0,1,1063,0,0,0,299,7,1517,0,56,1174,15,8,0,0,0,26,0,3486,,,,,
Otu193,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,,,,,
Otu205,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,,,RG EW,,
Otu115,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,,,OTU1,,
Otu67,352,194,0,0,4,1,0,446,0,0,0,218,0,0,0,23,2,87,0,0,2,1,546,,,1023138,28428,16441
Otu175,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,,,0.858087453,0.023842053,0.013788771
Otu116,393,59,44,0,6,142,0,0,0,0,0,267,286,29,0,2,0,8,0,0,2,0,811,,,,,
Otu25,564,37,0,84,38,2637,74,344,0,2362,0,2150,0,0,735,86,0,0,0,1,0,0,1420,,,,,
Otu60,692,0,0,0,0,161,0,115,0,0,0,0,0,12,0,16,0,0,0,0,0,0,704,,,RG GI,2,3
Otu271,52,0,7,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,59,,,428620,127413,57944
