"job_id";"sequence_number";"sequence_identifier";"full_name";"sequence_score";"bp_score";"cutoff_head";"cutoff_tail";"identity";"quality";"startpos";"stoppos";"ecolipos";"bps";"gene_bps";"turn";"lca_tax_embl_ebi_ena";"lca_tax_gtdb";"lca_tax_ltp";"lca_tax_rdp";"lca_tax_slv"
"828393";"1";"Otu1";"None";"0";"102";"0";"0";"100";"100";"31188";"41784";"986";"405";"405";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Gammaproteobacteria;";"Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;"
"828393";"2";"Otu2";"None";"0.9965";"96";"0";"0";"94.6472";"99";"31188";"41784";"986";"407";"407";"none";"Bacteria;environmental samples;";"Unclassified;";"Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;";"Bacteria;""Fusobacteria"";Fusobacteriia;""Fusobacteriales"";""Fusobacteriaceae"";Cetobacterium;";"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Cetobacterium;"
"828393";"3";"Otu3";"None";"0.988931";"98";"0";"0";"97.0149";"98";"31188";"41784";"986";"402";"402";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;"
"828393";"4";"Otu4";"None";"0.983239";"97";"0";"0";"93.0521";"98";"31188";"41784";"986";"403";"403";"none";"Bacteria;environmental samples;";"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P mediterraneense;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;"
"828393";"5";"Otu5";"None";"0";"100";"0";"0";"100";"100";"31188";"41784";"986";"403";"403";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;";"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"
"828393";"6";"Otu6";"None";"0.996589";"99";"0";"0";"100";"99";"31188";"41784";"986";"404";"404";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Gammaproteobacteria;""Enterobacteriales"";Enterobacteriaceae;Plesiomonas;";"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Plesiomonas;"
"828393";"7";"Otu7";"None";"0.993638";"99";"0";"0";"99.2537";"99";"31188";"41784";"986";"402";"402";"none";"Bacteria;";"d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp000753455;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;"
"828393";"8";"Otu8";"None";"0.996656";"97";"0";"0";"99.5062";"99";"31188";"41784";"986";"405";"405";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;""Proteobacteria"";Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;";"Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;"
"828393";"9";"Otu9";"None";"0.965773";"93";"0";"0";"87.1287";"96";"31188";"41784";"986";"403";"403";"none";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;";"Unclassified;"
"828393";"10";"Otu10";"None";"0.996616";"97";"0";"0";"97.0443";"99";"31188";"41784";"986";"405";"405";"none";"Bacteria;";"Unclassified;";"Unclassified;";"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia;";"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;"
